,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,39,2.93%,266,1.99%,3122,2.33%,31283,2.33%
Mediterranean Avenue,29,2.18%,254,1.90%,2561,1.91%,25809,1.93%
Community Chest,22,1.65%,262,1.96%,2541,1.90%,25311,1.89%
Baltic Avenue,23,1.73%,250,1.87%,2620,1.95%,25925,1.93%
Income Tax,32,2.40%,297,2.22%,2826,2.11%,28489,2.13%
Reading Railroad,36,2.70%,346,2.59%,3644,2.72%,36428,2.72%
Oriental Avenue,29,2.18%,269,2.01%,2763,2.06%,28158,2.10%
Chance,28,2.10%,288,2.16%,2757,2.06%,27691,2.07%
Vermont Avenue,25,1.88%,263,1.97%,2784,2.08%,27870,2.08%
Connecticut Avenue,34,2.55%,277,2.07%,2720,2.03%,27283,2.04%
Jail,77,5.79%,831,6.22%,8110,6.05%,79834,5.96%
St. Charles Place,33,2.48%,330,2.47%,3260,2.43%,32337,2.41%
Electric Company,22,1.65%,296,2.21%,3133,2.34%,31453,2.35%
States Avenue,34,2.55%,309,2.31%,2903,2.17%,29290,2.19%
Virginia Avenue,36,2.70%,312,2.33%,3263,2.43%,32366,2.42%
Pennsylvania Railroad,36,2.70%,397,2.97%,3878,2.89%,38788,2.89%
St. James Place,38,2.85%,370,2.77%,3742,2.79%,37818,2.82%
Community Chest,33,2.48%,380,2.84%,3829,2.86%,37544,2.80%
Tennessee Avenue,34,2.55%,381,2.85%,3708,2.77%,37158,2.77%
New York Avenue,38,2.85%,381,2.85%,3865,2.88%,38720,2.89%
Free Parking,46,3.46%,365,2.73%,3455,2.58%,34820,2.60%
Kentucky Avenue,36,2.70%,330,2.47%,3480,2.60%,34648,2.59%
Chance,31,2.33%,337,2.52%,3633,2.71%,35425,2.64%
Indiana Avenue,39,2.93%,361,2.70%,3596,2.68%,35662,2.66%
Illinois Avenue,37,2.78%,388,2.90%,4047,3.02%,40528,3.02%
B. & O. Railroad,45,3.38%,410,3.07%,3877,2.89%,38579,2.88%
Atlantic Avenue,30,2.25%,346,2.59%,3307,2.47%,33438,2.50%
Ventnor Avenue,36,2.70%,314,2.35%,3104,2.31%,32586,2.43%
Water Works,32,2.40%,335,2.51%,3304,2.46%,34010,2.54%
Marvin Gardens,32,2.40%,331,2.48%,3324,2.48%,32278,2.41%
Go To Jail,30,2.25%,355,2.66%,3350,2.50%,33436,2.49%
Pacific Avenue,30,2.25%,318,2.38%,3424,2.55%,34102,2.54%
North Carolina Avenue,29,2.18%,307,2.30%,3373,2.52%,32841,2.45%
Community Chest,37,2.78%,326,2.44%,3347,2.50%,33224,2.48%
Pennsylvania Avenue,35,2.63%,326,2.44%,2963,2.21%,30035,2.24%
Short Line,21,1.58%,281,2.10%,2725,2.03%,27528,2.05%
Chance,26,1.95%,259,1.94%,2562,1.91%,25943,1.94%
Park Place,25,1.88%,266,1.99%,2625,1.96%,26830,2.00%
Luxury Tax,25,1.88%,267,2.00%,2673,1.99%,26804,2.00%
Boardwalk,25,1.88%,322,2.41%,3280,2.45%,31865,2.38%
