,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,30,2.29%,309,2.31%,3171,2.36%,31720,2.37%
Mediterranean Avenue,24,1.83%,257,1.92%,2636,1.96%,26019,1.94%
Community Chest,24,1.83%,273,2.04%,2573,1.91%,25145,1.88%
Baltic Avenue,28,2.14%,266,1.99%,2624,1.95%,25727,1.92%
Income Tax,26,1.98%,276,2.06%,2847,2.12%,29160,2.18%
Reading Railroad,43,3.28%,403,3.01%,3648,2.71%,36244,2.70%
Oriental Avenue,25,1.91%,269,2.01%,2772,2.06%,28118,2.10%
Chance,22,1.68%,276,2.06%,2837,2.11%,28076,2.09%
Vermont Avenue,30,2.29%,282,2.11%,2779,2.07%,27870,2.08%
Connecticut Avenue,27,2.06%,243,1.81%,2729,2.03%,27331,2.04%
Jail,75,5.72%,799,5.96%,8089,6.02%,79613,5.94%
St. Charles Place,32,2.44%,318,2.37%,3204,2.38%,32109,2.40%
Electric Company,36,2.75%,311,2.32%,3151,2.34%,31463,2.35%
States Avenue,34,2.59%,321,2.40%,2899,2.16%,29452,2.20%
Virginia Avenue,26,1.98%,337,2.52%,3230,2.40%,32469,2.42%
Pennsylvania Railroad,29,2.21%,372,2.78%,3862,2.87%,38415,2.87%
St. James Place,44,3.36%,376,2.81%,3822,2.84%,37822,2.82%
Community Chest,41,3.13%,375,2.80%,3873,2.88%,37740,2.82%
Tennessee Avenue,38,2.90%,357,2.67%,3730,2.77%,37323,2.78%
New York Avenue,36,2.75%,396,2.96%,3718,2.77%,38363,2.86%
Free Parking,35,2.67%,335,2.50%,3545,2.64%,35364,2.64%
Kentucky Avenue,33,2.52%,367,2.74%,3549,2.64%,34422,2.57%
Chance,41,3.13%,343,2.56%,3545,2.64%,34901,2.60%
Indiana Avenue,28,2.14%,385,2.87%,3715,2.76%,35645,2.66%
Illinois Avenue,43,3.28%,390,2.91%,3984,2.96%,40751,3.04%
B. & O. Railroad,44,3.36%,358,2.67%,3813,2.84%,38752,2.89%
Atlantic Avenue,25,1.91%,331,2.47%,3283,2.44%,33033,2.46%
Ventnor Avenue,30,2.29%,329,2.46%,3235,2.41%,32413,2.42%
Water Works,24,1.83%,351,2.62%,3465,2.58%,33960,2.53%
Marvin Gardens,34,2.59%,317,2.37%,3354,2.49%,32870,2.45%
Go To Jail,30,2.29%,334,2.49%,3459,2.57%,33312,2.48%
Pacific Avenue,42,3.20%,339,2.53%,3347,2.49%,34110,2.54%
North Carolina Avenue,31,2.36%,342,2.55%,3293,2.45%,33087,2.47%
Community Chest,40,3.05%,343,2.56%,3249,2.42%,33128,2.47%
Pennsylvania Avenue,23,1.75%,306,2.28%,3000,2.23%,29692,2.21%
Short Line,22,1.68%,277,2.07%,2708,2.01%,27838,2.08%
Chance,24,1.83%,240,1.79%,2600,1.93%,25725,1.92%
Park Place,31,2.36%,265,1.98%,2755,2.05%,26866,2.00%
Luxury Tax,24,1.83%,268,2.00%,2639,1.96%,26695,1.99%
Boardwalk,31,2.36%,297,2.22%,3104,2.31%,31839,2.38%
