,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,35,2.59%,307,2.30%,3158,2.35%,31611,2.36%
Mediterranean Avenue,28,2.07%,248,1.85%,2531,1.88%,26307,1.96%
Community Chest,25,1.85%,266,1.99%,2547,1.90%,24897,1.86%
Baltic Avenue,30,2.22%,248,1.85%,2523,1.88%,26057,1.94%
Income Tax,28,2.07%,292,2.18%,2875,2.14%,28750,2.14%
Reading Railroad,30,2.22%,353,2.64%,3686,2.74%,36218,2.70%
Oriental Avenue,34,2.52%,262,1.96%,2775,2.07%,28136,2.10%
Chance,27,2.00%,279,2.09%,2796,2.08%,28081,2.09%
Vermont Avenue,29,2.15%,268,2.00%,2810,2.09%,27793,2.07%
Connecticut Avenue,32,2.37%,284,2.12%,2750,2.05%,27368,2.04%
Jail,79,5.85%,810,6.06%,8040,5.98%,79987,5.96%
St. Charles Place,32,2.37%,337,2.52%,3268,2.43%,32256,2.40%
Electric Company,30,2.22%,314,2.35%,3129,2.33%,31472,2.35%
States Avenue,26,1.92%,282,2.11%,2970,2.21%,29237,2.18%
Virginia Avenue,38,2.81%,279,2.09%,3224,2.40%,32155,2.40%
Pennsylvania Railroad,36,2.66%,373,2.79%,3883,2.89%,38524,2.87%
St. James Place,38,2.81%,368,2.75%,3829,2.85%,38065,2.84%
Community Chest,45,3.33%,402,3.01%,3799,2.83%,38043,2.83%
Tennessee Avenue,32,2.37%,351,2.62%,3653,2.72%,37355,2.78%
New York Avenue,43,3.18%,390,2.92%,3871,2.88%,38109,2.84%
Free Parking,35,2.59%,394,2.95%,3486,2.59%,35153,2.62%
Kentucky Avenue,30,2.22%,343,2.56%,3566,2.65%,34669,2.58%
Chance,35,2.59%,328,2.45%,3523,2.62%,35151,2.62%
Indiana Avenue,35,2.59%,355,2.65%,3623,2.70%,35952,2.68%
Illinois Avenue,39,2.89%,396,2.96%,4165,3.10%,40684,3.03%
B. & O. Railroad,41,3.03%,401,3.00%,3797,2.83%,38769,2.89%
Atlantic Avenue,31,2.29%,350,2.62%,3272,2.43%,33070,2.46%
Ventnor Avenue,34,2.52%,340,2.54%,3300,2.46%,32550,2.43%
Water Works,33,2.44%,331,2.47%,3358,2.50%,33958,2.53%
Marvin Gardens,37,2.74%,298,2.23%,3244,2.41%,32848,2.45%
Go To Jail,34,2.52%,347,2.59%,3445,2.56%,33508,2.50%
Pacific Avenue,35,2.59%,362,2.71%,3492,2.60%,33720,2.51%
North Carolina Avenue,31,2.29%,341,2.55%,3286,2.45%,33026,2.46%
Community Chest,29,2.15%,350,2.62%,3225,2.40%,33533,2.50%
Pennsylvania Avenue,25,1.85%,261,1.95%,3007,2.24%,29829,2.22%
Short Line,30,2.22%,276,2.06%,2770,2.06%,27669,2.06%
Chance,30,2.22%,254,1.90%,2637,1.96%,26201,1.95%
Park Place,27,2.00%,267,2.00%,2605,1.94%,26641,1.99%
Luxury Tax,32,2.37%,287,2.15%,2700,2.01%,26761,1.99%
Boardwalk,24,1.78%,319,2.38%,3163,2.35%,31776,2.37%
